year,gender,city,cancer,年齡標準化發生率WHO2000世界標準人口(每10萬人口),cancercount,ageavg,agemedium,grossrate(10million),cid,gid
1979,男,台閩地區,口腔、口咽及下咽,5.09,364,53.27,55,3.97,V,M
1979,男,台北市,口腔、口咽及下咽,4.34,42,51.31,55,3.68,B,M
1979,男,台中市,口腔、口咽及下咽,7.14,42,54.83,55,5.2,C,M
1979,男,台南市,口腔、口咽及下咽,2.69,17,56.47,58,2.13,D,M
1979,男,高雄市,口腔、口咽及下咽,2.77,23,48.52,50,2.05,E,M
1979,男,基隆市,口腔、口咽及下咽,6.18,9,56,59,4.95,F,M
1979,男,新竹市,口腔、口咽及下咽,6.57,8,47,49,5.52,G,M
1979,男,嘉義市,口腔、口咽及下咽,7.37,7,60.29,62,5.35,H,M
1979,男,新北市,口腔、口咽及下咽,5.19,43,52.3,53,3.89,I,M
1979,男,桃園市,口腔、口咽及下咽,3.67,15,55.8,55,2.8,J,M
1979,男,新竹縣,口腔、口咽及下咽,2.89,4,64.5,64.5,2.1,K,M
1979,男,宜蘭縣,口腔、口咽及下咽,4.73,9,52.44,52,3.88,L,M
1979,男,苗栗縣,口腔、口咽及下咽,1.04,2,48.5,48.5,0.71,M,M
1979,男,彰化縣,口腔、口咽及下咽,11.95,52,51.9,52.5,8.74,N,M
1979,男,南投縣,口腔、口咽及下咽,4.61,10,52.7,52,3.66,O,M
1979,男,雲林縣,口腔、口咽及下咽,3.57,11,51.09,50,2.65,P,M
1979,男,嘉義縣,口腔、口咽及下咽,5.03,12,52.17,53,3.99,Q,M
1979,男,屏東縣,口腔、口咽及下咽,6.31,20,59.35,58,4.29,R,M
1979,男,澎湖縣,口腔、口咽及下咽,4.18,2,56.5,56.5,3.52,S,M
1979,男,花蓮縣,口腔、口咽及下咽,3.57,6,44,46,3.1,T,M
1979,男,台東縣,口腔、口咽及下咽,9.97,16,55.27,57,10.37,U,M
1979,女,台閩地區,口腔、口咽及下咽,1.32,75,53.84,56,0.89,V,F
1979,女,台北市,口腔、口咽及下咽,3.36,23,53.26,56,2.18,B,F
1979,女,台中市,口腔、口咽及下咽,0.51,3,45,43,0.4,C,F
1979,女,台南市,口腔、口咽及下咽,0.35,2,50,50,0.27,D,F
1979,女,高雄市,口腔、口咽及下咽,1.34,9,48.67,50,0.88,E,F
1979,女,基隆市,口腔、口咽及下咽,1.02,1,63,63,0.61,F,F
1979,女,新竹市,口腔、口咽及下咽,1.97,2,53.5,53.5,1.52,G,F
1979,女,嘉義市,口腔、口咽及下咽,1.33,1,64,64,0.82,H,F
1979,女,新北市,口腔、口咽及下咽,0.71,4,58.75,59,0.39,I,F
1979,女,桃園市,口腔、口咽及下咽,2.32,6,55.83,57,1.26,J,F
1979,女,宜蘭縣,口腔、口咽及下咽,0.71,1,58,58,0.48,L,F
1979,女,苗栗縣,口腔、口咽及下咽,0.52,1,70,70,0.39,M,F
1979,女,彰化縣,口腔、口咽及下咽,0.78,3,58.33,59,0.54,N,F
1979,女,雲林縣,口腔、口咽及下咽,1.23,4,45,55,1.04,P,F
1979,女,屏東縣,口腔、口咽及下咽,1.71,5,63.6,65,1.2,R,F
1979,女,花蓮縣,口腔、口咽及下咽,2.82,3,55.67,55,1.88,T,F
1979,女,台東縣,口腔、口咽及下咽,1.3,1,65,65,0.79,U,F
1980,男,台閩地區,口腔、口咽及下咽,5.98,424,53.44,54,4.55,V,M
1980,男,台北市,口腔、口咽及下咽,5.8,53,54.68,54,4.61,B,M
1980,男,台中市,口腔、口咽及下咽,6.92,38,55.32,59.5,4.57,C,M
1980,男,台南市,口腔、口咽及下咽,3.8,22,53.32,53,2.73,D,M
1980,男,高雄市,口腔、口咽及下咽,5.12,45,49.96,51,3.92,E,M
1980,男,基隆市,口腔、口咽及下咽,4.98,8,52.63,54,4.41,F,M
1980,男,新竹市,口腔、口咽及下咽,8.82,10,58,53,6.79,G,M
1980,男,嘉義市,口腔、口咽及下咽,18.53,18,53.17,50,13.82,H,M
1980,男,新北市,口腔、口咽及下咽,4.28,36,51.47,51.5,3.08,I,M
1980,男,桃園市,口腔、口咽及下咽,5.84,28,50.64,52,5.03,J,M
1980,男,新竹縣,口腔、口咽及下咽,3.43,5,59.4,59,2.62,K,M
